id,valuer,rank,type,wtp
1,first,high,absolute,160
2,replacement,high,absolute,390
3,first,low,absolute,210
3,first,low,absolute,210
4,replacement,low,absolute,180
5,first,medium,relative,240
6,replacement,medium,relative,310
7,first,medium,absolute,240
8,replacement,medium,absolute,220
9,first,high,relative,290
9,first,high,relative,290
10,replacement,high,relative,180
11,first,high,relative,280
12,replacement,high,relative,210
13,first,high,absolute,100
14,replacement,high,absolute,240
15,first,low,relative,130
16,replacement,low,relative,240
17,first,low,absolute,250
18,replacement,low,absolute,130
19,first,medium,relative,310
20,replacement,medium,relative,140
21,first,low,relative,120
22,replacement,low,relative,160
23,first,low,relative,210
24,replacement,low,relative,90
25,first,low,absolute,200
26,replacement,low,absolute,190
27,first,medium,relative,160
28,replacement,medium,relative,70
29,first,medium,absolute,240
30,replacement,medium,absolute,210
31,first,medium,absolute,270
32,replacement,medium,absolute,260
33,first,high,relative,260
34,replacement,high,relative,290
35,first,high,absolute,200
36,replacement,high,absolute,180
37,first,low,relative,100
38,replacement,low,relative,150
39,first,low,absolute,220
40,replacement,low,absolute,170
41,first,medium,relative,180
42,replacement,medium,relative,170
43,first,medium,absolute,160
44,replacement,medium,absolute,260
45,first,high,relative,290
46,replacement,high,relative,240
47,first,high,absolute,270
48,replacement,high,absolute,200
49,first,low,relative,150
50,replacement,low,relative,180
51,first,low,absolute,140
52,replacement,low,absolute,80
53,first,medium,relative,160
54,replacement,medium,relative,80
55,first,medium,absolute,130
56,replacement,medium,absolute,240
57,first,high,relative,250
58,replacement,high,relative,290
59,first,high,absolute,90
60,replacement,high,absolute,230
61,first,low,relative,160
62,replacement,low,relative,60
63,first,low,absolute,160
64,replacement,low,absolute,130
65,first,medium,relative,200
66,replacement,medium,relative,220
67,first,medium,absolute,210
68,replacement,medium,absolute,290
69,first,high,relative,210
70,replacement,high,relative,240
71,first,high,absolute,230
72,replacement,high,absolute,350
73,first,low,relative,70
74,replacement,low,relative,190
75,first,low,absolute,180
76,replacement,low,absolute,160
77,first,medium,relative,140
78,replacement,medium,relative,210
79,first,medium,absolute,200
80,replacement,medium,absolute,200
81,first,high,relative,190
82,replacement,high,relative,240
83,first,high,absolute,270
84,replacement,high,absolute,310
85,first,low,relative,120
86,replacement,low,relative,180
87,first,low,absolute,150
88,replacement,low,absolute,180
89,first,medium,relative,230
90,replacement,medium,relative,250
91,first,medium,absolute,220
92,replacement,medium,absolute,210
93,first,high,relative,300
94,replacement,high,relative,240
95,first,high,absolute,180
96,replacement,high,absolute,240
97,first,low,relative,220
98,replacement,low,relative,200
99,first,low,absolute,170
100,replacement,low,absolute,150
101,first,medium,relative,230
102,replacement,medium,relative,260
103,first,medium,absolute,210
104,replacement,medium,absolute,190
105,first,high,relative,180
106,replacement,high,relative,230
107,first,high,absolute,210
108,replacement,high,absolute,280
109,first,low,relative,170
110,replacement,low,relative,210
111,first,low,absolute,170
112,replacement,low,absolute,220
113,first,medium,relative,230
114,replacement,medium,relative,150
115,first,medium,absolute,150
116,replacement,medium,absolute,190
117,first,high,relative,220
118,replacement,high,relative,210
119,first,high,absolute,300
120,replacement,high,absolute,340
121,first,low,relative,210
122,replacement,low,relative,270
123,first,low,absolute,230
124,replacement,low,absolute,90
124,replacement,low,absolute,90
125,first,medium,relative,140
126,replacement,medium,relative,240
127,first,medium,absolute,230
128,replacement,medium,absolute,170
129,first,high,relative,310
130,replacement,high,relative,240
131,first,high,absolute,300
132,replacement,high,absolute,380
133,first,low,relative,210
134,replacement,low,relative,160
135,first,low,absolute,200
136,replacement,low,absolute,150
137,first,medium,relative,230
138,replacement,medium,relative,180
139,first,medium,absolute,190
140,replacement,medium,absolute,110
141,first,high,relative,270
142,replacement,high,relative,270
143,first,high,absolute,60
144,replacement,high,absolute,210
145,first,low,relative,180
146,replacement,low,relative,230
147,first,low,absolute,170
148,replacement,low,absolute,160
149,first,medium,relative,220
150,replacement,medium,relative,250
151,first,medium,absolute,220
152,replacement,medium,absolute,240
153,first,high,relative,240
154,replacement,high,relative,270
155,first,high,absolute,170
156,replacement,high,absolute,310
157,first,low,relative,180
158,replacement,low,relative,130
159,first,low,absolute,200
160,replacement,low,absolute,230
161,first,medium,relative,160
162,replacement,medium,relative,260
163,first,medium,absolute,180
164,replacement,medium,absolute,210
165,first,high,relative,290
166,replacement,high,relative,200
167,first,high,absolute,220
168,replacement,high,absolute,260
169,first,low,relative,100
170,replacement,low,relative,150
171,first,low,absolute,240
172,replacement,low,absolute,140
173,first,medium,relative,230
174,replacement,medium,relative,260
175,first,medium,absolute,270
176,replacement,medium,absolute,160
177,first,high,relative,320
178,replacement,high,relative,250
179,first,high,absolute,200
180,replacement,high,absolute,240
181,first,low,relative,230
182,replacement,low,relative,180
183,first,low,absolute,100
184,replacement,low,absolute,240
185,first,medium,relative,210
186,replacement,medium,relative,290
187,first,medium,absolute,80
188,replacement,medium,absolute,170
189,first,high,relative,210
190,replacement,high,relative,160
191,first,high,absolute,240
192,replacement,high,absolute,240
193,first,low,relative,210
194,replacement,low,relative,170
195,first,low,absolute,180
196,replacement,low,absolute,150
197,first,medium,relative,210
198,replacement,medium,relative,170
199,first,medium,absolute,60
200,replacement,medium,absolute,190
201,first,high,relative,250
202,replacement,high,relative,270
203,first,high,absolute,210
204,replacement,high,absolute,270
205,first,low,relative,180
206,replacement,low,relative,100
207,first,low,absolute,90
208,replacement,low,absolute,150
209,first,medium,relative,230
210,replacement,medium,relative,160
211,first,medium,absolute,290
212,replacement,medium,absolute,90
213,first,high,relative,260
214,replacement,high,relative,250
215,first,high,absolute,180
216,replacement,high,absolute,260
217,first,low,relative,170
218,replacement,low,relative,150
219,first,low,absolute,180
220,replacement,low,absolute,170
221,first,medium,relative,200
222,replacement,medium,relative,170
223,first,medium,absolute,80
224,replacement,medium,absolute,220
225,first,high,relative,170
226,replacement,high,relative,210
227,first,high,absolute,60
227,first,high,absolute,60
228,replacement,high,absolute,260
229,first,low,relative,160
230,replacement,low,relative,170
231,first,low,absolute,230
232,replacement,low,absolute,130
233,first,medium,relative,200
234,replacement,medium,relative,240
235,first,medium,absolute,190
236,replacement,medium,absolute,240
237,first,high,relative,200
238,replacement,high,relative,190
239,first,high,absolute,190
240,replacement,high,absolute,250
